,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
4890,Mercedes-Benz,S-Class,S 350 CDI Connoisseurs Edition,2021,Delhi,First,"25,000",Diesel,Automatic,"1,17,00,000"
4891,Mercedes-Benz,SLK-Class,SLK 200 K,2010,Delhi,Third,"47,852",Petrol,Manual,"15,90,000"
4892,BMW,X1,sDrive20d xLine,2017,Delhi,First,"38,091",Diesel,Manual,"27,50,000"
4893,Audi,A8,4.2 FSI quattro,2013,Gurgaon,First,"30,610",Petrol,Automatic,"36,00,000"
4894,Hyundai,Elite i20,Asta (O) 1.0 Turbo DCT,2020,Gurgaon,First,"12,300",Petrol,Automatic,"10,80,000"
4895,Audi,A6,35 TDI Matrix,2018,Delhi,First,"33,752",Diesel,Manual,"37,90,000"
4896,Maruti Suzuki,Baleno,Sigma 1.2,2019,Delhi,First,"29,000",Petrol,Automatic,"5,75,000"
4897,BMW,X3,xDrive 20d Luxury Line ,2018,Delhi,First,"48,406",Diesel,Automatic,"44,90,000"
4898,BMW,3-Series,320d Sport Line,2017,Delhi,First,"40,000",Diesel,Automatic,"28,00,000"
4899,Audi,A8,4.2 FSI quattro,2013,Gurgaon,First,"30,610",Petrol,Manual,"36,00,000"
4900,Jeep,Compass,Sport 1.4 Petrol,2019,Delhi,Second,"15,617",Petrol,Automatic,"15,25,000"
4901,Jeep,Compass,Limited (O) 2.0 Diesel 4x4 ,2020,Delhi,First,"54,175",Diesel,Automatic,"19,90,000"
4902,Toyota,Fortuner,2.8 4x2 AT ,2017,Delhi,First,"68,168",Diesel,Manual,"28,90,000"
4903,Hyundai,Elite i20,Asta (O) 1.0 Turbo DCT,2020,Gurgaon,First,"12,300",Petrol,Automatic,"10,80,000"
4904,Jeep,Compass,Sport Plus 1.4 Petrol ,2019,Delhi,First,"5,833",Petrol,Automatic,"15,90,000"
4905,Audi,Q7,35 TDI Technology Pack,2013,Delhi,Second,"90,000",Diesel,Automatic,"19,10,000"
4906,Jaguar,XJ,3.0 Diesel,2012,Delhi,Second,"78,000",Diesel,Automatic,"23,50,000"
4907,Hyundai,i10,Magna 1.2 Kappa2,2011,Delhi,First,"52,000",Petrol,Manual,"2,25,000"
4908,Mahindra,Scorpio,S6 Plus 1.99 Intelli-Hybrid,2017,Delhi,First,"27,000",Diesel,Automatic,"11,25,000"
4909,Toyota,Innova,2.4 G 8 STR ,2017,Delhi,Second,"27,500",Diesel,Automatic,"15,75,000"
4910,Audi,Q7,3.6 FSI quattro,2008,Delhi,Second,"1,15,000",Petrol,Automatic,"9,75,000"
4911,Mercedes-Benz,GL-Class,350 CDI,2015,Delhi,First,"1,29,000",Diesel,Manual,"33,90,000"
4912,Maruti Suzuki,SX4,ZXi,2010,Delhi,First,"84,000",Petrol,Manual,"3,25,000"
4913,Tata,Tiago,Revotorq XT ,2018,Delhi,First,"48,000",Diesel,Manual,"4,35,000"
4914,Hyundai,Elite i20,Magna 1.2 ,2017,Delhi,First,"34,000",Petrol,Automatic,"5,45,000"
4915,Maruti Suzuki,Baleno,Sigma 1.2,2015,Delhi,First,"55,000",Petrol,Automatic,"4,25,000"
4916,Honda,Amaze,1.2 VX AT i-VTEC,2014,Delhi,First,"52,000",Petrol,Automatic,"4,40,000"
4917,Honda,City,1.5 V AT,2009,Delhi,Second,"57,000",Petrol,Manual,"2,75,000"
4918,Hyundai,Grand i10,Magna 1.2 Kappa VTVT ,2016,Delhi,Second,"52,000",Petrol,Automatic,"4,20,000"
4919,Hyundai,i10,Sportz 1.2 Kappa2,2015,Delhi,First,"52,000",Petrol,Manual,"3,25,000"
